id,time,latitude,longitude,depth,place,place_exact,exact_place_ar,exact_place_fr
358,1999-12-22T17:36:56.240Z,35.321,-1.281,10.0,northern Algeria,Aïn Témouchent ⵄⵉⵏ ⵜⵉⵎⵓⵛⴻⵏⵜ عين تموشنت, عين تموشنت,Aïn Témouchent 
359,1999-12-22T17:54:21.700Z,35.445,-1.369,10.0,northern Algeria,algeria,,algeria
360,1999-12-22T17:57:13.920Z,35.293,-1.374,10.0,northern Algeria,Aïn Témouchent ⵄⵉⵏ ⵜⵉⵎⵓⵛⴻⵏⵜ عين تموشنت, عين تموشنت,Aïn Témouchent 
361,1999-12-24T14:25:34.880Z,35.271,-1.193,10.0,northern Algeria,Aïn Témouchent ⵄⵉⵏ ⵜⵉⵎⵓⵛⴻⵏⵜ عين تموشنت, عين تموشنت,Aïn Témouchent 
362,2000-01-03T07:50:09.370Z,35.656,-1.5759999999999998,0.0,northern Algeria,algeria,,algeria
363,2000-01-05T01:14:09.350Z,35.853,-1.765,0.0,northern Algeria,algeria,,algeria
364,2000-01-20T23:26:16.460Z,36.69,5.323,10.0,northern Algeria,algeria,,algeria
365,2000-01-21T02:08:35.580Z,36.44,5.403,10.0,northern Algeria,Sétif ⵙⵟⵉⴼ سطيف‎,,Sétif 
366,2000-01-22T19:08:26.820Z,36.792,2.494,10.0,northern Algeria,algeria,,algeria
367,2000-01-26T19:29:02.560Z,35.871,-1.953,15.5,northern Algeria,algeria,,algeria
368,2000-01-27T14:43:28.430Z,35.321,-1.1740000000000002,15.8,northern Algeria,Aïn Témouchent ⵄⵉⵏ ⵜⵉⵎⵓⵛⴻⵏⵜ عين تموشنت, عين تموشنت,Aïn Témouchent 
369,2000-03-18T01:29:10.490Z,35.325,-1.403,13.9,northern Algeria,Aïn Témouchent ⵄⵉⵏ ⵜⵉⵎⵓⵛⴻⵏⵜ عين تموشنت, عين تموشنت,Aïn Témouchent 
370,2000-03-20T15:46:26.430Z,35.515,-1.471,4.8,northern Algeria,algeria,,algeria
371,2000-03-29T22:52:17.360Z,35.492,-1.416,13.0,northern Algeria,algeria,,algeria
372,2000-04-01T00:07:57.710Z,35.402,-1.592,0.0,northern Algeria,Aïn Témouchent ⵄⵉⵏ ⵜⵉⵎⵓⵛⴻⵏⵜ عين تموشنت, عين تموشنت,Aïn Témouchent 
373,2000-04-01T00:36:51.610Z,35.515,-1.526,0.0,northern Algeria,algeria,,algeria
374,2000-04-10T18:39:48.350Z,35.543,-1.3430000000000002,2.2,northern Algeria,algeria,,algeria
375,2000-05-28T12:26:33.400Z,35.68,-1.526,10.0,northern Algeria,algeria,,algeria
376,2000-06-03T13:43:21.820Z,36.765,6.9860000000000015,10.0,northern Algeria,Skikda ⵙⴽⵉⴽⴷⴰ سكيكدة, سكيكدة,Skikda 
377,2000-06-04T04:59:11.110Z,35.809,-1.648,10.0,northern Algeria,algeria,,algeria
378,2000-06-11T01:54:11.520Z,35.76,-1.503,0.0,northern Algeria,algeria,,algeria
379,2000-07-02T05:36:24.360Z,36.022,1.372,10.0,northern Algeria,Chlef ⵛⵛⵍⴻⴼ الشلف, الشلف,Chlef 
380,2000-07-16T12:11:37.920Z,36.26,3.332,10.0,northern Algeria,Médéa ⵎⴷⵉⵢⵢⴰ المدية, المدية,Médéa 
